"","update","date","locations","contact","nsites"
"2",1,"9 Aug 2021",26,"Close",11
"5",2,"Thursday 1",29,"Close",10
"8",3,"Wednesday ",29,"Close",10
"11",4,"Wednesday ",29,"Close",10
"14",5,"Tuesday, 1",79,"Close",27
"17",6,"Tuesday, 1",79,"Close",27
"20",7,"10/8/2021",79,"Close",27
"23",8,"Wednesday,",79,"Close",27
"26",9,"12/08/2021",29,"Close",10
"29",10,"12/08/2021",29,"Close",10
"32",11,"12/08/2021",36,"Close",8
"35",12,"13/08/2021",44,"Close",32
"38",13,"14/08/2021",44,"Close",32
"41",14,NA,12,"Close",1
"44",15,NA,12,"Close",1
"47",16,NA,12,"Close",1
"50",17,"11/08/2021",44,"Close",32
"53",18,NA,12,"Close",1
"58",20,"16/08/2021",20,"Close",4
"61",21,NA,20,"Close",4
"64",22,NA,12,"Close",1
"67",23,"11/08/2021",37,"Close",1
"77",27,"16/08/2021",33,"Close",5
"80",28,NA,15,"Close",6
"83",29,"20/08/2021",33,"Close",5
"86",30,NA,21,"Close",9
"89",31,"18/08/2021",33,"Close",5
"92",32,"16/08/2021",90,"Close",19
"95",33,NA,11,"Close",2
"98",34,NA,17,"Close",2
"101",35,NA,17,"Close",2
"114",41,"25/08/2021",44,"Close",1
"117",42,NA,11,"Close",1
"120",43,NA,21,"Close",1
"123",44,NA,23,"Close",4
"126",45,NA,23,"Close",4
"129",46,NA,28,"Close",3
"132",47,NA,40,"Close",5
"135",48,NA,32,"Close",6
"138",49,NA,32,"Close",6
"141",50,NA,31,"Close",1
"144",51,NA,36,"Close",5
"1",1,"9 Aug 2021",26,"Casual",12
"4",2,"Thursday 1",29,"Casual",16
"7",3,"Wednesday ",29,"Casual",16
"10",4,"Wednesday ",29,"Casual",16
"13",5,"Tuesday, 1",79,"Casual",41
"16",6,"Tuesday, 1",79,"Casual",41
"19",7,"10/8/2021",79,"Casual",40
"22",8,"Wednesday,",79,"Casual",41
"25",9,"12/08/2021",29,"Casual",16
"28",10,"12/08/2021",29,"Casual",16
"31",11,"12/08/2021",36,"Casual",19
"34",12,"13/08/2021",44,"Casual",11
"37",13,"14/08/2021",44,"Casual",11
"40",14,NA,12,"Casual",7
"43",15,NA,12,"Casual",7
"46",16,NA,12,"Casual",7
"49",17,"11/08/2021",44,"Casual",11
"52",18,NA,12,"Casual",7
"55",19,NA,11,"Casual",6
"57",20,"16/08/2021",20,"Casual",12
"60",21,NA,20,"Casual",12
"63",22,NA,12,"Casual",7
"66",23,"11/08/2021",37,"Casual",34
"70",24,NA,9,"Casual",5
"72",25,NA,9,"Casual",5
"74",26,NA,9,"Casual",5
"76",27,"16/08/2021",33,"Casual",9
"79",28,NA,15,"Casual",7
"82",29,"20/08/2021",33,"Casual",9
"85",30,NA,21,"Casual",3
"88",31,"18/08/2021",33,"Casual",9
"91",32,"16/08/2021",90,"Casual",32
"94",33,NA,11,"Casual",5
"97",34,NA,17,"Casual",11
"100",35,NA,17,"Casual",11
"103",36,NA,3,"Casual",2
"105",37,NA,4,"Casual",3
"107",38,NA,7,"Casual",4
"109",39,NA,9,"Casual",6
"111",40,"21/08/2021",46,"Casual",18
"113",41,"25/08/2021",44,"Casual",16
"116",42,NA,11,"Casual",6
"119",43,NA,21,"Casual",6
"122",44,NA,23,"Casual",8
"125",45,NA,23,"Casual",8
"128",46,NA,28,"Casual",9
"131",47,NA,40,"Casual",10
"134",48,NA,32,"Casual",10
"137",49,NA,32,"Casual",10
"140",50,NA,31,"Casual",6
"143",51,NA,36,"Casual",10
"27",9,"12/08/2021",29,"Monitor",3
"30",10,"12/08/2021",29,"Monitor",3
"33",11,"12/08/2021",36,"Monitor",9
"36",12,"13/08/2021",44,"Monitor",1
"39",13,"14/08/2021",44,"Monitor",1
"42",14,NA,12,"Monitor",4
"45",15,NA,12,"Monitor",4
"48",16,NA,12,"Monitor",4
"51",17,"11/08/2021",44,"Monitor",1
"54",18,NA,12,"Monitor",4
"56",19,NA,11,"Monitor",5
"59",20,"16/08/2021",20,"Monitor",4
"62",21,NA,20,"Monitor",4
"65",22,NA,12,"Monitor",4
"69",23,"11/08/2021",37,"Monitor",1
"71",24,NA,9,"Monitor",4
"73",25,NA,9,"Monitor",4
"75",26,NA,9,"Monitor",4
"78",27,"16/08/2021",33,"Monitor",19
"81",28,NA,15,"Monitor",2
"84",29,"20/08/2021",33,"Monitor",19
"87",30,NA,21,"Monitor",9
"90",31,"18/08/2021",33,"Monitor",19
"93",32,"16/08/2021",90,"Monitor",39
"96",33,NA,11,"Monitor",4
"99",34,NA,17,"Monitor",4
"102",35,NA,17,"Monitor",4
"104",36,NA,3,"Monitor",1
"106",37,NA,4,"Monitor",1
"108",38,NA,7,"Monitor",3
"110",39,NA,9,"Monitor",3
"112",40,"21/08/2021",46,"Monitor",28
"115",41,"25/08/2021",44,"Monitor",27
"118",42,NA,11,"Monitor",4
"121",43,NA,21,"Monitor",14
"124",44,NA,23,"Monitor",11
"127",45,NA,23,"Monitor",11
"130",46,NA,28,"Monitor",16
"133",47,NA,40,"Monitor",25
"136",48,NA,32,"Monitor",16
"139",49,NA,32,"Monitor",16
"142",50,NA,31,"Monitor",24
"145",51,NA,36,"Monitor",21
"3",1,"9 Aug 2021",26,NA,3
"6",2,"Thursday 1",29,NA,3
"9",3,"Wednesday ",29,NA,3
"12",4,"Wednesday ",29,NA,3
"15",5,"Tuesday, 1",79,NA,11
"18",6,"Tuesday, 1",79,NA,11
"21",7,"10/8/2021",79,NA,12
"24",8,"Wednesday,",79,NA,11
