Country,Long,Lat,Paper,Range,,,,,,
Argentina,-67.5628,-55.9314,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.1467,-55.0464,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.1467,-55.0464,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.3539,-54.9967,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.3208,-54.9794,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.5800,-54.8464,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.3561,-54.8242,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.3575,-54.8214,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.3575,-54.8214,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-67.1947,-54.5106,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-67.8592,-54.3825,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-67.8572,-54.3639,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-66.8122,-54.2678,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-68.8158,-54.0206,Sola et al. (2015) Reciente invasión del Archipiélago de Tierra del Fuego por la avispa Vespula germanica (Hymenoptera: Vespidae). Revista de la Sociedad Entomológica Argentina 74 (3-4): 197-202.,Invaded,,,,,,
Argentina,-72.5068,-51.7325,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.2135,-51.5819,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.3362,-51.5356,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.2745,-50.3449,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.2705,-50.3402,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
Argentina,-72.8906,-49.3232,"Masciocchi et al. (2013) Distribution, dispersal and spread of the invasive social wasp (Vespula germanica) in Argentina. Austral Ecology 38: 162-168",Invaded,,,,,,
