Country,Long,Lat,Paper,Range
Argentina,-71.4321,-42.5088,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.4245,-42.5075,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.5530,-41.9176,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.5527,-41.9176,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.4165,-41.8501,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.7000,-41.6667,Masciocchi et al. (2016) Local dynamics of worker activity of the invasive Vespula germanica and V. vulgaris (Hymenoptera: Vespidae) wasps in Argentina.  Ecological Entomology 41: 105–111,Invaded
Argentina,-71.6168,-41.3483,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.5084,-41.2713,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.4113,-41.1611,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.3103,-41.1335,Masciocchi et al. (2010) Primer registro de Vespula vulgaris (Hymenoptera: Vespidae) en la Argentina. Rev. Soc. Entomol. Argent. 69 (3-4): 267-270.,Invaded
Argentina,-71.4023,-41.1190,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.4470,-41.0987,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Argentina,-71.5000,-41.0000,"Pereira et al (2016) Foraging Behavior Interactions Between Two non-Native Social Wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): Implications for Invasion Success? Journal of Insect Science (2016) 16(1): 78; 1–6",Invaded
Argentina,-71.5000,-41.0000,"Pererira (2016) Foraging Behavior Interactions Between Two non-Native Social Wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): Implications for Invasion Success? Journal of Insect Science (2016) 16(1): 78; 1–6.",Invaded
Argentina,-71.3581,-40.1614,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
Australia ,147.2679,-43.3937,Bashford (2001) The spread and impact of the introduced Vespine wasps Vespula germanica (F.) and Vespula vulgaris (L.)(Hymenoptera: Vespidae: Vespinae) in Tasmania. Australian Entomologist 28: 1-15,Invaded
Australia ,146.6545,-43.0950,Bashford (2001) The spread and impact of the introduced Vespine wasps Vespula germanica (F.) and Vespula vulgaris (L.)(Hymenoptera: Vespidae: Vespinae) in Tasmania. Australian Entomologist 28: 1-13,Invaded
Australia ,146.9602,-43.0305,Bashford (2001) The spread and impact of the introduced Vespine wasps Vespula germanica (F.) and Vespula vulgaris (L.)(Hymenoptera: Vespidae: Vespinae) in Tasmania. Australian Entomologist 28: 1-14,Invaded
Australia ,147.3272,-42.8821,Bashford (2001) The spread and impact of the introduced Vespine wasps Vespula germanica (F.) and Vespula vulgaris (L.)(Hymenoptera: Vespidae: Vespinae) in Tasmania. Australian Entomologist 28: 1-12,Invaded
Australia ,145.9298,-38.1538,"M. W. J. Crosland (1991) The spread of the social wasp, Vespula germanica, in Australia, New Zealand Journal of Zoology, 18:4, 375-387",Invaded
Australia ,145.3500,-37.8333,Matthews et al. (2000) The introduced English wasp Vespula vulgaris (L.) (Hymenoptera: Vespidae) newly recorded invading native forests in Tasmania. Australian Journal of Entomology 39: 177-179,Invaded
Australia ,144.9631,-37.8136,Matthews et al. (2000) The introduced English wasp Vespula vulgaris (L.) (Hymenoptera: Vespidae) newly recorded invading native forests in Tasmania. Australian Journal of Entomology 39: 177-179,Invaded
Australia ,147.4627,-37.5832,"Spradbery & Maywald (1992) The distribution of the European or German wasp, Vespula germanica (F.) (Hymenoptera: Vespidae), in Australia: past, present and future. Australian Journal of Zoology 40: 495-510",Invaded
Chile,-67.6166,-55.0567,"Carcamo et al. (2016) Primer registro de Vespula vulgaris (Linnaeus 1758) (Hymenoptera: Vespidae) en la isla Navarino, Chile.  Gayana 80(1): 133-136.",Invaded
Chile,-70.9863,-52.3680,"Montalva et al. (2017) Hirsutella sp. (Hypocreales: Ophiocordycipitaceae) Affecting the Invasive Social Wasp Vespula vulgaris (Hymenoptera: Vespidae) in Southern Chile. Florida Entomologist, 100(3):663-666.",Invaded
Chile,-72.9367,-41.4717,"Montalva et al. (2017) Hirsutella sp. (Hypocreales: Ophiocordycipitaceae) Affecting the Invasive Social Wasp Vespula vulgaris (Hymenoptera: Vespidae) in Southern Chile. Florida Entomologist, 100(3):663-666.",Invaded
Chile,-72.8677,-41.4539,"Montalva et al. (2017) Hirsutella sp. (Hypocreales: Ophiocordycipitaceae) Affecting the Invasive Social Wasp Vespula vulgaris (Hymenoptera: Vespidae) in Southern Chile. Florida Entomologist, 100(3):663-666.",Invaded
Chile,-72.3311,-38.9489,"Montalva et al. (2017) Hirsutella sp. (Hypocreales: Ophiocordycipitaceae) Affecting the Invasive Social Wasp Vespula vulgaris (Hymenoptera: Vespidae) in Southern Chile. Florida Entomologist, 100(3):663-666.",Invaded
Chile,-71.8897,-38.4404,"Medina & Munoz (2013) Primer reporte Vespula vulgaris (Linnaeus, 1758) (Hymenoptera: Vespidae) en Chile. Boletin de la Sociedad Entomologica Aragonesa 52: 277-278.",Invaded
Chile,-71.5724,-35.5164,"Medina & Munoz (2013) Primer reporte Vespula vulgaris (Linnaeus, 1758) (Hymenoptera: Vespidae) en Chile. Boletin de la Sociedad Entomologica Aragonesa 52: 277-278.",Invaded
Hawaii,-156.3319,20.7984,"Carpenter, J.M. (2008) Review of Hawaiian Vespidae (Hymenoptera). Bishop Museum Occassional Papers  99, 18pp.",Invaded
Iceland,-18.441,64.91,"de Villiers M, Kriticos DJ, Veldtman R (2017) Including irrigation in niche modelling of the invasive wasp Vespula germanica (Fabricius) improves model fit to predict potential for further spread. PLoS ONE 12(7): e0181397.",Invaded
New Zealand,168.3538,-46.4132,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,168.9458,-46.0988,Clapperton et al. (1989) Distribution of social wasps (Hymenoptera: Vespidae) in New Zealand in 1987. NZ J Zoology 16: 315-33,Invaded
New Zealand,170.5000,-45.8900,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,170.5000,-45.8900,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,170.5000,-45.8900,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
New Zealand,170.5000,-45.8900,Lester et al. (2014) Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris). Diversity and Distributions 20: 964–974.,Invaded
