fileName,variableName,description,unitText
last.csv,Status,NA,NA
last.csv,Exposure.Location,NA,NA
last.csv,Street,NA,NA
last.csv,Suburb,NA,NA
last.csv,Date,NA,NA
last.csv,Arrival.Time,NA,NA
last.csv,Departure.Time,NA,NA
last.csv,Contact,NA,NA
table_16_Aug_2021_233pm.csv,Status,NA,NA
table_16_Aug_2021_233pm.csv,Suburb,NA,NA
table_16_Aug_2021_233pm.csv,Place,NA,NA
table_16_Aug_2021_233pm.csv,Date,NA,NA
table_16_Aug_2021_233pm.csv,Arrival.Time,NA,NA
table_16_Aug_2021_233pm.csv,Departure.Time,NA,NA
table_16_Aug_2021_233pm.csv,table,NA,NA
table_16_Aug_2021_233pm.csv,lat,NA,NA
table_16_Aug_2021_233pm.csv,lon,NA,NA
table_17_Aug_2021_1027pm.csv,Status,NA,NA
table_17_Aug_2021_1027pm.csv,Suburb,NA,NA
table_17_Aug_2021_1027pm.csv,Place,NA,NA
table_17_Aug_2021_1027pm.csv,Date,NA,NA
table_17_Aug_2021_1027pm.csv,Arrival.Time,NA,NA
table_17_Aug_2021_1027pm.csv,Departure.Time,NA,NA
table_17_Aug_2021_1027pm.csv,table,NA,NA
table_17_Aug_2021_1027pm.csv,type,NA,NA
table_17_Aug_2021_1027pm.csv,lat,NA,NA
table_17_Aug_2021_1027pm.csv,lon,NA,NA
table_17_Aug_2021_1056pm.csv,Status,NA,NA
table_17_Aug_2021_1056pm.csv,Suburb,NA,NA
table_17_Aug_2021_1056pm.csv,Place,NA,NA
table_17_Aug_2021_1056pm.csv,Date,NA,NA
table_17_Aug_2021_1056pm.csv,Arrival.Time,NA,NA
table_17_Aug_2021_1056pm.csv,Departure.Time,NA,NA
table_17_Aug_2021_1056pm.csv,table,NA,NA
table_17_Aug_2021_1056pm.csv,type,NA,NA
table_17_Aug_2021_1056pm.csv,lat,NA,NA
table_17_Aug_2021_1056pm.csv,lon,NA,NA
table_17_Aug_2021_1103pm.csv,Status,NA,NA
table_17_Aug_2021_1103pm.csv,Suburb,NA,NA
table_17_Aug_2021_1103pm.csv,Place,NA,NA
table_17_Aug_2021_1103pm.csv,Date,NA,NA
table_17_Aug_2021_1103pm.csv,Arrival.Time,NA,NA
table_17_Aug_2021_1103pm.csv,Departure.Time,NA,NA
table_17_Aug_2021_1103pm.csv,table,NA,NA
table_17_Aug_2021_1103pm.csv,type,NA,NA
table_17_Aug_2021_1103pm.csv,lat,NA,NA
table_17_Aug_2021_1103pm.csv,lon,NA,NA
table_17_Aug_2021_1143am.csv,Status,NA,NA
table_17_Aug_2021_1143am.csv,Suburb,NA,NA
table_17_Aug_2021_1143am.csv,Place,NA,NA
table_17_Aug_2021_1143am.csv,Date,NA,NA
table_17_Aug_2021_1143am.csv,Arrival.Time,NA,NA
table_17_Aug_2021_1143am.csv,Departure.Time,NA,NA
table_17_Aug_2021_1143am.csv,table,NA,NA
table_17_Aug_2021_1143am.csv,type,NA,NA
table_17_Aug_2021_1143am.csv,lat,NA,NA
table_17_Aug_2021_1143am.csv,lon,NA,NA
table_17_Aug_2021_1205am.csv,Status,NA,NA
table_17_Aug_2021_1205am.csv,Suburb,NA,NA
table_17_Aug_2021_1205am.csv,Place,NA,NA
table_17_Aug_2021_1205am.csv,Date,NA,NA
table_17_Aug_2021_1205am.csv,Arrival.Time,NA,NA
table_17_Aug_2021_1205am.csv,Departure.Time,NA,NA
table_17_Aug_2021_1205am.csv,table,NA,NA
table_17_Aug_2021_1205am.csv,type,NA,NA
table_17_Aug_2021_1205am.csv,lat,NA,NA
table_17_Aug_2021_1205am.csv,lon,NA,NA
table_17_Aug_2021_418pm.csv,Status,NA,NA
table_17_Aug_2021_418pm.csv,Suburb,NA,NA
table_17_Aug_2021_418pm.csv,Place,NA,NA
table_17_Aug_2021_418pm.csv,Date,NA,NA
table_17_Aug_2021_418pm.csv,Arrival.Time,NA,NA
table_17_Aug_2021_418pm.csv,Departure.Time,NA,NA
table_17_Aug_2021_418pm.csv,table,NA,NA
table_17_Aug_2021_418pm.csv,type,NA,NA
table_17_Aug_2021_418pm.csv,lat,NA,NA
table_17_Aug_2021_418pm.csv,lon,NA,NA
table_18_Aug_2021_407pm.csv,Status,NA,NA
table_18_Aug_2021_407pm.csv,Exposure.Location,NA,NA
table_18_Aug_2021_407pm.csv,Street,NA,NA
