"","update","date","locations","contact","nsites"
"2",1,"9 Aug 2021",26,"Close",11
"5",2,"Thursday 1",29,"Close",10
"8",3,"Wednesday ",29,"Close",10
"11",4,"Wednesday ",29,"Close",10
"14",5,"Tuesday, 1",79,"Close",27
"17",6,"10/8/2021",79,"Close",27
"20",7,"Tuesday, 1",79,"Close",27
"23",8,"12/08/2021",29,"Close",10
"26",9,"13/08/2021",36,"Close",8
"29",10,"11/08/2021",44,"Close",32
"32",11,"12/08/2021",44,"Close",32
"35",12,"13/08/2021",12,"Close",1
"38",13,NA,12,"Close",1
"41",14,NA,12,"Close",1
"44",15,"11/08/2021",44,"Close",32
"47",16,NA,12,"Close",1
"52",18,"12/08/2021",20,"Close",4
"55",19,"12/08/2021",20,"Close",4
"58",20,NA,12,"Close",1
"61",21,"11/08/2021",37,"Close",1
"71",25,"16/08/2021",33,"Close",5
"74",26,NA,15,"Close",6
"77",27,"16/08/2021",33,"Close",5
"80",28,NA,21,"Close",9
"83",29,"20/08/2021",33,"Close",5
"86",30,"16/08/2021",90,"Close",19
"89",31,NA,11,"Close",2
"92",32,NA,17,"Close",2
"95",33,NA,17,"Close",2
"108",39,"25/08/2021",44,"Close",1
"111",40,NA,11,"Close",1
"114",41,NA,21,"Close",1
"117",42,NA,23,"Close",4
"120",43,NA,23,"Close",4
"123",44,NA,28,"Close",3
"126",45,NA,40,"Close",5
"129",46,NA,32,"Close",6
"132",47,NA,32,"Close",6
"135",48,NA,31,"Close",1
"138",49,NA,36,"Close",5
"1",1,"9 Aug 2021",26,"Casual",12
"4",2,"Thursday 1",29,"Casual",16
"7",3,"Wednesday ",29,"Casual",16
"10",4,"Wednesday ",29,"Casual",16
"13",5,"Tuesday, 1",79,"Casual",41
"16",6,"10/8/2021",79,"Casual",40
"19",7,"Tuesday, 1",79,"Casual",41
"22",8,"12/08/2021",29,"Casual",16
"25",9,"13/08/2021",36,"Casual",19
"28",10,"11/08/2021",44,"Casual",11
"31",11,"12/08/2021",44,"Casual",11
"34",12,"13/08/2021",12,"Casual",7
"37",13,NA,12,"Casual",7
"40",14,NA,12,"Casual",7
"43",15,"11/08/2021",44,"Casual",11
"46",16,NA,12,"Casual",7
"49",17,NA,11,"Casual",6
"51",18,"12/08/2021",20,"Casual",12
"54",19,"12/08/2021",20,"Casual",12
"57",20,NA,12,"Casual",7
"60",21,"11/08/2021",37,"Casual",34
"64",22,NA,9,"Casual",5
"66",23,NA,9,"Casual",5
"68",24,NA,9,"Casual",5
"70",25,"16/08/2021",33,"Casual",9
"73",26,NA,15,"Casual",7
"76",27,"16/08/2021",33,"Casual",9
"79",28,NA,21,"Casual",3
"82",29,"20/08/2021",33,"Casual",9
"85",30,"16/08/2021",90,"Casual",32
"88",31,NA,11,"Casual",5
"91",32,NA,17,"Casual",11
"94",33,NA,17,"Casual",11
"97",34,NA,3,"Casual",2
"99",35,NA,4,"Casual",3
"101",36,NA,7,"Casual",4
"103",37,NA,9,"Casual",6
"105",38,"21/08/2021",46,"Casual",18
"107",39,"25/08/2021",44,"Casual",16
"110",40,NA,11,"Casual",6
"113",41,NA,21,"Casual",6
"116",42,NA,23,"Casual",8
"119",43,NA,23,"Casual",8
"122",44,NA,28,"Casual",9
"125",45,NA,40,"Casual",10
"128",46,NA,32,"Casual",10
"131",47,NA,32,"Casual",10
"134",48,NA,31,"Casual",6
"137",49,NA,36,"Casual",10
"24",8,"12/08/2021",29,"Monitor",3
"27",9,"13/08/2021",36,"Monitor",9
"30",10,"11/08/2021",44,"Monitor",1
"33",11,"12/08/2021",44,"Monitor",1
"36",12,"13/08/2021",12,"Monitor",4
"39",13,NA,12,"Monitor",4
"42",14,NA,12,"Monitor",4
"45",15,"11/08/2021",44,"Monitor",1
"48",16,NA,12,"Monitor",4
"50",17,NA,11,"Monitor",5
"53",18,"12/08/2021",20,"Monitor",4
"56",19,"12/08/2021",20,"Monitor",4
"59",20,NA,12,"Monitor",4
"63",21,"11/08/2021",37,"Monitor",1
"65",22,NA,9,"Monitor",4
"67",23,NA,9,"Monitor",4
"69",24,NA,9,"Monitor",4
"72",25,"16/08/2021",33,"Monitor",19
"75",26,NA,15,"Monitor",2
"78",27,"16/08/2021",33,"Monitor",19
"81",28,NA,21,"Monitor",9
"84",29,"20/08/2021",33,"Monitor",19
"87",30,"16/08/2021",90,"Monitor",39
"90",31,NA,11,"Monitor",4
"93",32,NA,17,"Monitor",4
"96",33,NA,17,"Monitor",4
"98",34,NA,3,"Monitor",1
"100",35,NA,4,"Monitor",1
"102",36,NA,7,"Monitor",3
"104",37,NA,9,"Monitor",3
"106",38,"21/08/2021",46,"Monitor",28
"109",39,"25/08/2021",44,"Monitor",27
"112",40,NA,11,"Monitor",4
"115",41,NA,21,"Monitor",14
"118",42,NA,23,"Monitor",11
"121",43,NA,23,"Monitor",11
"124",44,NA,28,"Monitor",16
"127",45,NA,40,"Monitor",25
"130",46,NA,32,"Monitor",16
"133",47,NA,32,"Monitor",16
"136",48,NA,31,"Monitor",24
"139",49,NA,36,"Monitor",21
"3",1,"9 Aug 2021",26,NA,3
"6",2,"Thursday 1",29,NA,3
"9",3,"Wednesday ",29,NA,3
"12",4,"Wednesday ",29,NA,3
"15",5,"Tuesday, 1",79,NA,11
"18",6,"10/8/2021",79,NA,12
"21",7,"Tuesday, 1",79,NA,11
