"","X","update","date","locations","contact","nsites"
"1",2,1,"9 Aug 2021",26,"Close",11
"2",5,2,"Thursday 1",29,"Close",10
"3",8,3,"Wednesday ",29,"Close",10
"4",11,4,"Wednesday ",29,"Close",10
"5",14,5,"Tuesday, 1",79,"Close",27
"6",17,6,"10/8/2021",79,"Close",27
"7",20,7,"Tuesday, 1",79,"Close",27
"8",23,8,"12/08/2021",29,"Close",10
"9",26,9,"13/08/2021",36,"Close",8
"10",29,10,"11/08/2021",44,"Close",32
"11",32,11,"12/08/2021",44,"Close",32
"12",35,12,"13/08/2021",12,"Close",1
"13",38,13,NA,12,"Close",1
"14",41,14,NA,12,"Close",1
"15",44,15,"11/08/2021",44,"Close",32
"16",47,16,NA,12,"Close",1
"17",52,18,"12/08/2021",20,"Close",4
"18",55,19,"12/08/2021",20,"Close",4
"19",58,20,NA,12,"Close",1
"20",61,21,"11/08/2021",37,"Close",1
"21",71,25,"16/08/2021",33,"Close",5
"22",74,26,NA,15,"Close",6
"23",77,27,"16/08/2021",33,"Close",5
"24",80,28,NA,21,"Close",9
"25",83,29,"20/08/2021",33,"Close",5
"26",86,30,"16/08/2021",90,"Close",19
"27",89,31,NA,11,"Close",2
"28",92,32,NA,17,"Close",2
"29",95,33,NA,17,"Close",2
"30",108,39,"25/08/2021",44,"Close",1
"31",111,40,NA,11,"Close",1
"32",114,41,NA,21,"Close",1
"33",117,42,NA,23,"Close",4
"34",120,43,NA,23,"Close",4
"35",123,44,NA,28,"Close",3
"36",126,45,NA,40,"Close",5
"37",129,46,NA,32,"Close",6
"38",132,47,NA,32,"Close",6
"39",135,48,NA,31,"Close",1
"40",138,49,NA,36,"Close",5
"41",1,1,"9 Aug 2021",26,"Casual",12
"42",4,2,"Thursday 1",29,"Casual",16
"43",7,3,"Wednesday ",29,"Casual",16
"44",10,4,"Wednesday ",29,"Casual",16
"45",13,5,"Tuesday, 1",79,"Casual",41
"46",16,6,"10/8/2021",79,"Casual",40
"47",19,7,"Tuesday, 1",79,"Casual",41
"48",22,8,"12/08/2021",29,"Casual",16
"49",25,9,"13/08/2021",36,"Casual",19
"50",28,10,"11/08/2021",44,"Casual",11
"51",31,11,"12/08/2021",44,"Casual",11
"52",34,12,"13/08/2021",12,"Casual",7
"53",37,13,NA,12,"Casual",7
"54",40,14,NA,12,"Casual",7
"55",43,15,"11/08/2021",44,"Casual",11
"56",46,16,NA,12,"Casual",7
"57",49,17,NA,11,"Casual",6
"58",51,18,"12/08/2021",20,"Casual",12
"59",54,19,"12/08/2021",20,"Casual",12
"60",57,20,NA,12,"Casual",7
"61",60,21,"11/08/2021",37,"Casual",34
"62",64,22,NA,9,"Casual",5
"63",66,23,NA,9,"Casual",5
"64",68,24,NA,9,"Casual",5
"65",70,25,"16/08/2021",33,"Casual",9
"66",73,26,NA,15,"Casual",7
"67",76,27,"16/08/2021",33,"Casual",9
"68",79,28,NA,21,"Casual",3
"69",82,29,"20/08/2021",33,"Casual",9
"70",85,30,"16/08/2021",90,"Casual",32
"71",88,31,NA,11,"Casual",5
"72",91,32,NA,17,"Casual",11
"73",94,33,NA,17,"Casual",11
"74",97,34,NA,3,"Casual",2
"75",99,35,NA,4,"Casual",3
"76",101,36,NA,7,"Casual",4
"77",103,37,NA,9,"Casual",6
"78",105,38,"21/08/2021",46,"Casual",18
"79",107,39,"25/08/2021",44,"Casual",16
"80",110,40,NA,11,"Casual",6
"81",113,41,NA,21,"Casual",6
"82",116,42,NA,23,"Casual",8
"83",119,43,NA,23,"Casual",8
"84",122,44,NA,28,"Casual",9
"85",125,45,NA,40,"Casual",10
"86",128,46,NA,32,"Casual",10
"87",131,47,NA,32,"Casual",10
"88",134,48,NA,31,"Casual",6
"89",137,49,NA,36,"Casual",10
"90",24,8,"12/08/2021",29,"Monitor",3
"91",27,9,"13/08/2021",36,"Monitor",9
"92",30,10,"11/08/2021",44,"Monitor",1
"93",33,11,"12/08/2021",44,"Monitor",1
"94",36,12,"13/08/2021",12,"Monitor",4
"95",39,13,NA,12,"Monitor",4
"96",42,14,NA,12,"Monitor",4
"97",45,15,"11/08/2021",44,"Monitor",1
"98",48,16,NA,12,"Monitor",4
"99",50,17,NA,11,"Monitor",5
"100",53,18,"12/08/2021",20,"Monitor",4
"101",56,19,"12/08/2021",20,"Monitor",4
"102",59,20,NA,12,"Monitor",4
"103",63,21,"11/08/2021",37,"Monitor",1
"104",65,22,NA,9,"Monitor",4
"105",67,23,NA,9,"Monitor",4
"106",69,24,NA,9,"Monitor",4
"107",72,25,"16/08/2021",33,"Monitor",19
"108",75,26,NA,15,"Monitor",2
"109",78,27,"16/08/2021",33,"Monitor",19
"110",81,28,NA,21,"Monitor",9
"111",84,29,"20/08/2021",33,"Monitor",19
"112",87,30,"16/08/2021",90,"Monitor",39
"113",90,31,NA,11,"Monitor",4
"114",93,32,NA,17,"Monitor",4
"115",96,33,NA,17,"Monitor",4
"116",98,34,NA,3,"Monitor",1
"117",100,35,NA,4,"Monitor",1
"118",102,36,NA,7,"Monitor",3
"119",104,37,NA,9,"Monitor",3
"120",106,38,"21/08/2021",46,"Monitor",28
"121",109,39,"25/08/2021",44,"Monitor",27
"122",112,40,NA,11,"Monitor",4
"123",115,41,NA,21,"Monitor",14
"124",118,42,NA,23,"Monitor",11
"125",121,43,NA,23,"Monitor",11
"126",124,44,NA,28,"Monitor",16
"127",127,45,NA,40,"Monitor",25
"128",130,46,NA,32,"Monitor",16
"129",133,47,NA,32,"Monitor",16
"130",136,48,NA,31,"Monitor",24
"131",139,49,NA,36,"Monitor",21
"132",3,1,"9 Aug 2021",26,NA,3
"133",6,2,"Thursday 1",29,NA,3
"134",9,3,"Wednesday ",29,NA,3
"135",12,4,"Wednesday ",29,NA,3
"136",15,5,"Tuesday, 1",79,NA,11
"137",18,6,"10/8/2021",79,NA,12
"138",21,7,"Tuesday, 1",79,NA,11
