,dat.caseS,dat.caseE,diff
1,7:00am,8:20am,
2,12:20pm,1:20pm,
3,12:40pm,1:30pm,
4,12:50pm,2:00pm,
5,1:25pm,1:38pm,
6,1:57pm,2:07pm,
7,12:00am,11:59pm,
8,12:45pm,2:30pm,
9,2:50pm,4:00pm,
10,3:30pm,4:10pm,
11,4:50pm,5:35pm,
12,5:00pm,5:45pm,
13,6:00pm,6:40pm,
14,4:20pm,5:00pm,
15,4:40pm,5:20pm,
16,5:15pm,6:30pm,
17,6:20pm,7:00pm,
18,2:25pm,3:05pm,
19,4:00pm,4:40pm,
20,8:00am,8:10am,
21,8:43am,8:53am,
22,7:27pm,7:43pm,
23,7:46pm,7:50pm,
24,12:00pm,1:00pm,
25,12:15pm,12:45pm,
26,5:30am,12:30pm,
27,7:25pm,8:10pm,
28,5:10pm,6:00pm,
29,5:45pm,6:30pm,
30,5:45pm,6:50pm,
31,10:15am,11:00am,
32,10:15am,11:00am,
33,3:15pm,4:00pm,
34,3:30pm,4:30pm,
35,5:15pm,6:10pm,
36,11:05am,12:40pm,
37,5:00pm,5:40pm,
38,7:00am,8:20am,
39,12:20pm,1:20pm,
40,12:40pm,1:30pm,
41,12:50pm,2:00pm,
42,1:25pm,1:38pm,
43,1:57pm,2:07pm,
44,8:21pm,8:38pm,
45,8:42pm,8:49pm,
46,10:39pm,11:03pm,
47,5:40pm,6:45pm,
48,9:25pm,10:10pm,
49,9:50am,10:50am,
50,5:30am,12:30pm,
51,6:00pm,7:00pm,
52,11:30am,12:00pm,
53,11:50am,7:30pm,
54,1:20pm,2:45pm,
55,11:30am,7:30pm,
56,2:20pm,3:00pm,
57,1:45pm,3:00pm,
58,1:00pm,1:30pm,
59,2:15pm,3:00pm,
60,2:15pm,3:00pm,
61,1:00pm,2:00pm,
62,3:00pm,4:00pm,
63,7:00pm,7:45pm,
64,2:00pm,2:40pm,
65,12:00am,11:59pm,
66,12:45pm,2:30pm,
67,2:50pm,4:00pm,
68,3:30pm,4:10pm,
69,4:50pm,5:35pm,
70,5:00pm,5:45pm,
71,6:00pm,6:40pm,
72,4:20pm,5:00pm,
73,4:40pm,5:20pm,
74,5:15pm,6:30pm,
75,6:20pm,7:00pm,
76,2:25pm,3:05pm,
77,4:00pm,4:40pm,
78,8:00am,8:10am,
79,8:43am,8:53am,
80,8:20am,10:00am,
81,11:00am,12:30pm,
82,11:00am,11:50am,
83,11:10am,12:15pm,
84,11:30am,12:30am,
85,5:30am,12:30pm,
