HHS,2020.03.16,2020.03.17,2020.03.18,2020.03.19,2020.03.20,2020.03.21,2020.03.22,2020.03.23,2020.03.24,2020.03.25,2020.03.26,2020.03.27,2020.03.28,2020.03.29,2020.03.30,2020.03.31,2020.04.01,2020.04.02,2020.04.03,2020.04.04,2020.04.05,2020.04.06,2020.04.07,2020.04.08,2020.04.09,2020.04.10,2020.04.11,2020.04.12,2020.04.13,2020.04.14,2020.04.15,2020.04.16,2020.04.17,2020.04.18,2020.04.19,2020.04.20,2020.04.21,2020.04.22,2020.04.23,2020.04.24,2020.04.25,2020.04.26,2020.04.27,2020.04.28,2020.04.29,2020.04.30,2020.05.01,2020.05.02,2020.05.03,2020.05.04,2020.05.05,2020.05.06,2020.05.07,2020.05.08,2020.05.09,2020.05.10,2020.05.11,2020.05.12,2020.05.13,2020.05.14,2020.05.15,2020.05.16,2020.05.17,2020.05.18,2020.05.19,2020.05.20,2020.05.21,2020.05.22,2020.05.23,2020.05.24,2020.05.25,2020.05.26,2020.05.27,2020.05.28,2020.05.29,2020.05.30,2020.05.31,2020.06.01,2020.06.02,2020.06.03,2020.06.04,2020.06.05,2020.06.06,2020.06.07,2020.06.08,2020.06.09,2020.06.10,2020.06.11,2020.06.12,2020.06.13,2020.06.14,2020.06.15,2020.06.16,2020.06.17,2020.06.18,2020.06.19,2020.06.20,2020.06.21,2020.06.22,2020.06.23,2020.06.24,2020.06.25,2020.06.26,2020.06.27,2020.06.28,2020.06.29,2020.06.30,2020.07.01,2020.07.02,2020.07.03,2020.07.04,2020.07.05,2020.07.06,2020.07.07,2020.07.08,2020.07.09,2020.07.10,2020.07.11,2020.07.12,2020.07.13,2020.07.14,2020.07.15,2020.07.16,2020.07.17,2020.07.18,2020.07.19,2020.07.20,2020.07.21,2020.07.22,2020.07.23,2020.07.24,2020.07.25,2020.07.26,2020.07.27,2020.07.28,2020.07.29,2020.07.30,2020.07.31,2020.08.01,2020.08.02,2020.08.03,2020.08.04,2020.08.05,2020.08.06,2020.08.07,2020.08.09,2020.08.08,2020.08.10,2020.08.11,2020.08.12,2020.08.13,2020.08.14,2020.08.15,2020.08.16,2020.08.17,2020.08.18,2020.08.19,2020.08.20,2020.08.21,2020.08.22,2020.08.23,2020.08.243,2020.08.25,2020.08.26,2020.08.27,2020.08.28,2020.08.29,2020.08.30,2020.08.31,2020.09.01,2020.09.02,2020.09.03,2020.09.04,2020.09.05,2020.09.06,2020.09.07,2020.09.08,2020.09.09,2020.09.10,2020.09.11,2020.09.12,2020.09.13,2020.09.14,2020.09.15
Cairns and Hinterland,5,5,5,5,5,5,5,5,6,10,12,15,19,21,22,24,24,24,28,29,30,30,30,32,32,32,32,32,30,32,32,32,32,33,33,33,33,33,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,34,34,35,35,35,35,35,35,35,35,35,35,35,35,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Central Queensland,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,8,8,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darling Downs,3,3,3,3,4,4,8,9,15,16,17,17,21,24,28,31,37,39,39,41,40,40,40,41,41,42,43,42,43,42,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46
Gold Coast,33,33,34,41,53,62,67,71,79,87,91,106,114,121,136,147,148,165,166,170,174,175,177,178,179,181,181,181,181,186,184,185,188,189,189,189,190,190,190,190,190,190,192,192,192,192,192,192,192,192,193,194,196,196,196,194,194,194,194,194,194,195,195,195,195,195,195,195,195,195,193,193,193,193,193,193,193,193,194,194,194,195,195,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,197,196,196,196,196,196,196,196,196,196,196,196,196,198,198,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
Mackay,1,1,1,1,1,2,2,2,2,4,5,5,5,5,5,6,7,11,12,12,12,12,13,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Metro North,32,35,36,36,53,65,81,97,111,124,144,165,178,180,183,205,216,242,259,271,274,280,284,286,288,291,295,302,303,305,306,308,309,311,315,315,314,314,313,312,312,313,314,314,314,313,313,314,314,315,316,315,315,315,315,315,315,316,316,316,317,317,317,317,317,318,318,318,318,318,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,318,318,318,318,318,319,319,319,319,319,319,319,319,319,319,319,319,319,318,318,319,319,321,321,321,321,321,321,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,323,323,323,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,326
Metro South,37,40,40,43,58,71,77,83,97,104,123,132,152,163,169,180,188,191,201,206,206,213,219,218,223,229,232,233,236,236,237,237,239,243,243,243,248,248,249,250,250,251,251,251,252,252,252,252,253,254,257,257,257,257,257,258,258,262,263,263,263,263,263,264,264,264,264,264,266,266,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,269,271,271,271,271,271,271,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,273,277,277,277,277,279,280,281,285,287,287,288,288,288,288,289,289,291,292,292,292,292,293,293,293,293
North West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
